province_code,province_description,province_eng_name,district_code,district_description,district_eng_name
10,TP. Hà Nội,Ha Noi,1180,Q. Ba Đình,Ba Dinh
10,TP. Hà Nội,Ha Noi,1580,H. Phú Xuyên,Phu Xuyen
10,TP. Hà Nội,Ha Noi,1200,Q. Thanh Xuân,Thanh Xuan
10,TP. Hà Nội,Ha Noi,1120,Q. Hai Bà Trưng,Hai Ba Trung
10,TP. Hà Nội,Ha Noi,1250,Q. Long Biên,Long Bien
10,TP. Hà Nội,Ha Noi,1290,Q. Nam Từ Liêm,Nam Tu Liem
10,TP. Hà Nội,Ha Noi,1510,Q. Hà Đông,Ha Dong
10,TP. Hà Nội,Ha Noi,1360,H. Đông Anh,Dong Anh
10,TP. Hà Nội,Ha Noi,1340,H. Thanh Trì,Thanh Tri
10,TP. Hà Nội,Ha Noi,1547,H. Ba Vì,Ba Vi
10,TP. Hà Nội,Ha Noi,1536,H. Phúc Thọ,Phuc Tho
10,TP. Hà Nội,Ha Noi,1424,H. Đan Phượng,Dan Phuong
10,TP. Hà Nội,Ha Noi,1529,H. Hoài Đức,Hoai Duc
10,TP. Hà Nội,Ha Noi,1557,H. Quốc Oai,Quoc Oai
10,TP. Hà Nội,Ha Noi,1567,H. Thanh Oai,Thanh Oai
10,TP. Hà Nội,Ha Noi,1576,H. Mỹ Đức,My Duc
10,TP. Hà Nội,Ha Noi,1571,H. Ứng Hòa,Ung Hoa
10,TP. Hà Nội,Ha Noi,1100,Q. Hoàn Kiếm,Hoan Kiem
10,TP. Hà Nội,Ha Noi,1220,Q. Cầu Giấy,Cau Giay
10,TP. Hà Nội,Ha Noi,1150,Q. Đống Đa,Dong Da
10,TP. Hà Nội,Ha Noi,1270,Q. Hoàng Mai,Hoang Mai
10,TP. Hà Nội,Ha Noi,1430,Q. Bắc Từ Liêm,Bac Tu Liem
10,TP. Hà Nội,Ha Noi,1390,H. Sóc Sơn,Soc Son
10,TP. Hà Nội,Ha Noi,1310,H. Gia Lâm,Gia Lam
10,TP. Hà Nội,Ha Noi,1540,TX. Sơn Tây,Son Tay
10,TP. Hà Nội,Ha Noi,1420,H. Mê Linh,Me Linh
10,TP. Hà Nội,Ha Noi,1553,H. Thạch Thất,Thach That
10,TP. Hà Nội,Ha Noi,1561,H. Chương Mỹ,Chuong My
10,TP. Hà Nội,Ha Noi,1585,H. Thường Tín,Thuong Tin
10,TP. Hà Nội,Ha Noi,1240,Q. Tây Hồ,Tay Ho
16,Tỉnh Hưng Yên,Hung Yen,1632,TX. Mỹ Hào,My Hao
16,Tỉnh Hưng Yên,Hung Yen,1638,H. Văn Giang,Van Giang
